Year,State,Count
1990,NSW,95
1991,NSW,119
1992,NSW,106
1993,NSW,112
1994,NSW,118
1995,NSW,90
1996,NSW,110
1997,NSW,100
1998,NSW,107
1999,NSW,112
2000,NSW,106
2001,NSW,116
2002,NSW,97
2003,NSW,99
2004,NSW,81
2005,NSW,73
2006,NSW,85
2007,NSW,89
2008,NSW,88
2009,NSW,77
2010,NSW,77
2011,NSW,77
2012,NSW,72
2013,NSW,70
2014,NSW,81
2015,NSW,68
2016,NSW,54
2017,NSW,69
2018,NSW,62
2019,NSW,81
2020,NSW,85
1990,VIC,74
1991,VIC,72
1992,VIC,54
1993,VIC,59
1994,VIC,48
1995,VIC,74
1996,VIC,52
1997,VIC,51
1998,VIC,42
1999,VIC,54
2000,VIC,62
2001,VIC,55
2002,VIC,82
2003,VIC,58
2004,VIC,69
2005,VIC,51
2006,VIC,67
2007,VIC,47
2008,VIC,44
2009,VIC,52
2010,VIC,60
2011,VIC,43
2012,VIC,54
2013,VIC,47
2014,VIC,53
2015,VIC,45
2016,VIC,64
2017,VIC,51
2018,VIC,51
2019,VIC,45
2020,VIC,66
1990,QLD,68
1991,QLD,56
1992,QLD,68
1993,QLD,73
1994,QLD,62
1995,QLD,59
1996,QLD,66
1997,QLD,80
1998,QLD,74
1999,QLD,64
2000,QLD,60
2001,QLD,65
2002,QLD,73
2003,QLD,62
2004,QLD,58
2005,QLD,51
2006,QLD,56
2007,QLD,54
2008,QLD,54
2009,QLD,46
2010,QLD,57
2011,QLD,49
2012,QLD,48
2013,QLD,47
2014,QLD,36
2015,QLD,43
2016,QLD,46
2017,QLD,33
2018,QLD,33
2019,QLD,40
2020,QLD,50
1990,WA,25
1991,WA,22
1992,WA,29
1993,WA,34
1994,WA,36
1995,WA,46
1996,WA,33
1997,WA,23
1998,WA,34
1999,WA,33
2000,WA,35
2001,WA,28
2002,WA,32
2003,WA,32
2004,WA,36
2005,WA,27
2006,WA,30
2007,WA,26
2008,WA,30
2009,WA,30
2010,WA,23
2011,WA,32
2012,WA,34
2013,WA,40
2014,WA,27
2015,WA,32
2016,WA,32
2017,WA,39
2018,WA,28
2019,WA,32
2020,WA,31
1990,SA,20
1991,SA,22
1992,SA,27
1993,SA,30
1994,SA,29
1995,SA,29
1996,SA,13
1997,SA,22
1998,SA,27
1999,SA,38
2000,SA,23
2001,SA,21
2002,SA,31
2003,SA,22
2004,SA,28
2005,SA,21
2006,SA,21
2007,SA,12
2008,SA,18
2009,SA,26
2010,SA,21
2011,SA,20
2012,SA,17
2013,SA,19
2014,SA,16
2015,SA,17
2016,SA,18
2017,SA,20
2018,SA,14
2019,SA,17
2020,SA,14
1990,TAS,5
1991,TAS,5
1992,TAS,9
1993,TAS,6
1994,TAS,5
1995,TAS,5
1996,TAS,6
1997,TAS,3
1998,TAS,4
1999,TAS,7
2000,TAS,9
2001,TAS,8
2002,TAS,9
2003,TAS,6
2004,TAS,3
2005,TAS,10
2006,TAS,3
2007,TAS,8
2008,TAS,5
2009,TAS,8
2010,TAS,6
2011,TAS,4
2012,TAS,5
2013,TAS,7
2014,TAS,8
2015,TAS,6
2016,TAS,6
2017,TAS,12
2018,TAS,2
2019,TAS,4
2020,TAS,5
1990,ACTa,0
1991,ACTa,0
1992,ACTa,2
1993,ACTa,1
1994,ACTa,2
1995,ACTa,4
1996,ACTa,1
1997,ACTa,2
1998,ACTa,1
1999,ACTa,2
2000,ACTa,3
2001,ACTa,0
2002,ACTa,3
2003,ACTa,3
2004,ACTa,3
2005,ACTa,3
2006,ACTa,5
2007,ACTa,4
2008,ACTa,3
2009,ACTa,4
2010,ACTa,3
2011,ACTa,0
2012,ACTa,4
2013,ACTa,2
2014,ACTa,1
2015,ACTa,5
2016,ACTa,3
2017,ACTa,1
2018,ACTa,1
2019,ACTa,2
2020,ACTa,2
1990,NT,20
1991,NT,28
1992,NT,18
1993,NT,17
1994,NT,23
1995,NT,20
1996,NT,22
1997,NT,18
1998,NT,11
1999,NT,18
2000,NT,7
2001,NT,17
2002,NT,24
2003,NT,17
2004,NT,11
2005,NT,12
2006,NT,16
2007,NT,18
2008,NT,18
2009,NT,11
2010,NT,13
2011,NT,11
2012,NT,13
2013,NT,17
2014,NT,16
2015,NT,11
2016,NT,6
2017,NT,7
2018,NT,6
2019,NT,5
2020,NT,8
